No.,Nama Instagram,Komentar,Kategori,Tanggal Posting,Nama Akun IG  Artis/Selebgram,,
1,@delliananda,"""Kaka tidur yaa, udah pagi, gaboleh capek2""",Non-bullying,14 Oktober 2019,@isyanasarasvati,,
2,@fenninbl,"""makan nasi padang aja begini badannya""",Non-bullying,14 Oktober 2019,@isyanasarasvati,,
3,@abdurahmanshq,"""yang aku suka dari dia adalah selalu cukur jembut sebelum manggung""",Bullying,14 Oktober 2019,@isyanasarasvati,,
4,@najla.yoo,"""Hai kak Isyana aku ngefans banget sama kak Isyana.aku paling suka lagu kak Isyana itu lagu tetap didalam jiwa""",Non-bullying,14 Oktober 2019,@isyanasarasvati,,
5,@dessy_______,"""Manusia apa bidadari sih herann deh cantik terus 😌♥️""",Non-bullying,14 Oktober 2019,@isyanasarasvati,,
6,@e.fril,"""@ayu.kinantii isyan skrg berubah ya:( baju nya nakal""",Bullying,14 Oktober 2019,@isyanasarasvati,,
7,@bahasa.bayi.planet,"""Gemesnya isyan kayak tango, berlapis lapis ciaaaa""",Non-bullying,16 September 2019,@isyanasarasvati,,
8,@khanayarudinita,"""Makin jelek aja anaknya, padahal ibu ayahnya cakep2""",Bullying,22 Juni 2019,@tasyakamila,,
9,@reniaulia225,"""Kok anaknya kayak udah tua gitu ya mukanya kk tasya""",Bullying,22 Juni 2019,@tasyakamila,,
10,@nurjanah.hani,"""Muka anak nya ko tua banget yaa.. GK ngegemesin GK ada lucu2nya""",Bullying,22 Juni 2019,@tasyakamila,,
11,@rizalandriawanp,"""Muka nya muka kolot wkwk bukan muka bayi2 lucu gt""",Bullying,6 Juni 2019,@randibachtiar,,
12,@yudharamm,"""Udah gila sekarang ini orang wkwk, udah jomblo jadi psikolog ga laku, ya jadilah seperti itu""",Bullying,24 Desember 2020,@lutfiagizal,,
13,@mubarakbasslom,"""Lo sintingnya udah tingkat dewa""",Bullying,24 Desember 2020,@lutfiagizal,,
14,@erma_09,"""Sepertinya Lutfi setelah putus dgn salsa seperti orang stress""",Bullying,24 Desember 2020,@lutfiagizal,,
15,@rurrizki_maulana,"""ANAK TOLOL INI MULAI AKTIF YA BUND""",Bullying,28 Oktober 2020,@lufiagizal,,
16,@lala.laxii,"""bisa mati aja ga? gedeg gua liat lu. ANJIM""",Bullying,8 Desember 2020,@lutfiagizal,,
17,@menisa6634,"""Woy Lutfi asu , sok asik Lo ANJING !""",Bullying,8 Desember 2020,@lutfiagizal,,
18,@farsyahl_,"""Apasih kontol berantem aja lah ayo bngst @lutfiagizal""",Bullying,6 Desember 2020,@lutfiagizal,,
19,@lennyliando,"""Ibu kamu pelakor plus hamil di luar nikah ya? Pantesan anaknya kyk gini modelannya""",Bullying,16 Juni 2020,@listychanpokemon,,
20,@tatianayaaaa,"""Anaknya udh pinter, maknya yang kelempengan.. berasa masih baby, tingginya azka aj melebihi mamanya..""",Bullying,25 Oktober 2020,@kalinaocktarany,,
21,@ferlista234,"""Anak yg cerdas terbentuk dr pola asuh sekaligus pola didik ortu yg cerdas pula sih pada saranya. Sesimple itu""",Non-bullying,25 Oktober 2020,@kalinaocktarany,,
22,@sekiya.sat,"""Setengah iri setengah jadi motivasi ini""",Non-bullying,25 Oktober 2020,@kalinaocktarany,,
23,@emi_muslikah,"""Ancur hidup lu kalau sama dia… Sumpah..""",Bullying,15 November 2020,@kalinaocktarany,,
24,@tetikasmy7615,"""serem banget muka lo mel kayak ayam potong merah banget""",Bullying,27 Desember 2020,@rosameldianti_,,
25,@xcnadilax,"""Yaudah jd pengusaha kuliner aja gausah artis, makanannya emang bikin ngiler sih wkwkw""",Non-bullying,27 Desember 2020,@rosameldianti_,,
26,@ghy.14,"""Kamu emang cocoknya jadi pengusaha kuliner udah fixs. Semoha lancat terusssss""",Non-bullying,27 Desember 2020,@rosameldianti_,,
27,@rubybee_16,"""Tak sejelek IMAGE Owner ya..? Artis ups bukan Artis? Hallo secara tidak langsung semua orang itu tau IMAGE lu jelek gentong!""",Bullying,27 Desember 2020,@rosameldianti_,,
28,@syi_faalatas,"""Apaan sih gak jelas hidupnya""",Bullying,28 Desember 2020,@rosameldianti_,,
29,@swity_nananana,"""Sebelum aku Unfoll, aku mau bilang NAJISSSS""",Bullying,28 Desember 2020,@rosameldianti_,,
30,@dellasss1,"""muka lu sensual tapi norak kenapa dah""",Bullying,28 Desember 2020,@rosameldianti_,,
31,@bundafahryfahry,"""Udah gk jaman ngebully orang hey netizen mending ngaca dari kekurangan sendiri""",Non-bullying,28 Desember 2020,@rosameldianti_,,
32,@jeenida_abdullah_aras,"""Kalau pas penempatannya, sebenernya kamu imut banget loh mel.""",Non-bullying,28 Desember 2020,@rosameldianti_,,
33,@depoy110,"""Cakep kaga jelek iya HAHAH""",Bullying,28 Desember 2020,@rosameldianti_,,
34,@ferd.iansyah454,"""jari jari kaki kayak jarinya tukang panggul""",Bullying,26 Desember 2020,@rosameldianti_,,
35,@chenul98,"""Kakinya kek lagi hamil tua ya bun, semacam kaki gajah @ayuugsia""",Bullying,26 Desember 2020,@rosameldianti_,,
36,@rani__ara,"""Suka heran sama yg ngehina fisik,, ternyata bener ya kita semua pendosa dengan cara kita sendiri,,""",Non-bullying,26 Desember 2020,@rosameldianti_,,
37,@octaviandiajeng,"""Ini diedit biar langsing padahal mah klo live bomber badannya""",Bullying,26 Desember 2020,@rosameldianti_,,
38,@rubybee_16,"""Kakinya gedong sayyy kek kaki jantan… Upp kan dia suka berbaur ama warwerwor.. Mahluk astral.. Yg kakinya gedong""",Bullying,26 Desember 2020,@rosameldianti_,,
39,@__yohanatan__,"""Bagusan foto pakai masker drpd gak pakai masker""",Non-bullying,26 Desember 2020,@rosameldianti_,,
40,@hartaman_soe,"""@rosameldianti_ kakak foto sebelum ini. kenapa Memeknya Keliatan Tebal???? Memeknya kakak Lagi Bengkak yah???""",Bullying,26 Desember 2020,@rosameldianti_,,
41,@maskersssssj,"""Bra nya kedodoran kak make ukuran gede yaa""",Bullying,20 Desember 2020,@rosameldianti_,,
42,@yiunita,"""Nah ini cantik seneng. Usahanya membuahkan hasil. Semangat ya mel semoga menjadi pribadi yang lebih baik lagi""",Non-bullying,20 Desember 2020,@rosameldianti_,,
43,@anggrainikoenang,"""mba bisa gk sih, kalau gk merem melek gitu matanya kaya orang cacingan""",Bullying,20 Desember 2020,@rosameldianti_,,
44,@nadhiya_za,"""Semoga lancar terus usahanya mel""",Non-bullying,20 Desember 2020,@rosameldianti_,,
45,@riaros,"""Cantik banget kalo meldi muka natural kek gini""",Non-bullying,20 Desember 2020,@rosameldianti_,,
46,@lialiya25,"""Lu diem aja cantik mel kalo ga banyak gaya serius""",Non-bullying,20 Desember 2020,@rosameldianti_,,
47,@dianaherdani18,"""Kaku kek kanebo kering hahaha""",Bullying,20 Desember 2020,@rosameldianti_,,
48,@priskaaben,"""Semakin glowing say… natural kayak gini bagus tambahin prestasi nya ya say""",Non-bullying,20 Desember 2020,@rosameldianti_,,
49,@apelu.liat2,"""Meldi, emaknya buka klinik totok aura kayaknya anaknya gak pernah ditotok ya… auranya gak keliatan yg ada malah butek""",Bullying,22 Desember 2020,@rosameldianti_,,
50,@arjhunot,"""Karena muka lo pasaran mel, di pasar sapi juga ada yang mirip noh""",Bullying,22 Desember 2020,@rosameldianti_,,
51,@meta_fira,"""Maap kalau gua sering nyamain lu sama dugong soalnya emang mirip""",Bullying,22 Desember 2020,@rosameldianti_,,
52,@aii_rinz95,"""Iya lo kamu mirip monyet mel""",Bullying,22 Desember 2020,@rosameldianti_,,
53,@dwiengine,"""Bagusan pantat panci aing atuh anjir""",Bullying,22 Desember 2020,@rosameldianti_,,
54,@evilsilviani27,"""Ya emang ga ada yang sama soalnya muka kamu sama dengan muka badak, muka beton, ga ada malu,,,""",Bullying,22 Desember 2020,@rosameldianti_,,
55,@naviafadia,"""Kok mbak meldi sekarang tambah cantik ya rahasianya apa..""",Non-bullying,22 Desember 2020,@rosameldianti_,,
56,@lee406132,"""Lengannya gempal banget sih HAHA""",Bullying,22 Desember 2020,@rosameldianti_,,
57,@ummuhumairoh__,"""Fix yang komen semua nyela""",Non-bullying,22 Desember 2020,@rosameldianti_,,
58,@mareeet30,"""Udah ka gausah digubris gausah dipikirin. Bersyukur aja sama nikmat tuhan yang udah dikasih ke kaka. Gausah juga ngatain orang ka, tetep bersyukur atas nikmatnya""",Non-bullying,22 Desember 2020,@rosameldianti_,,
59,@rifkohalim,"""Jari jari nya gede gede banget, apalagi pas ngiklan makan ikan danau hambar, jarinya kayak jempol semua hawak bener""",Bullying,22 Desember 2020,@rosameldianti_,,
60,@ooohh_vhie,"""Jangan disamain muka @rosameldianti_ sama orang oi. Mintanya disamain sama babi""",Bullying,22 Desember 2020,@rosameldianti_,,
61,@effa.kejora,"""Ga ada yang dibawah Meldi, semuanya setara, ada kekurangan ada kelebihan""",Non-bullying,22 Desember 2020,@rosameldianti_,,
62,@_goshop24,"""Ka mel gausah merendahkan orang lain. Bersyukur aja diatas langit juga masih ada langit lagi""",Non-bullying,22 Desember 2020,@rosameldianti_,,
63,@jannahfamily1111,"""Mukanya kalau gak dibantu kamera dekil dan kumel""",Bullying,22 Desember 2020,@rosameldianti_,,
64,@fannyyyyk,"""Semua wanita cantik, jangan suka merasa lebih ah""",Non-bullying,22 Desember 2020,@rosameldianti_,,
65,@taniaaw123,"""Meldi udah dapat kontrak endorse skincare ya tapi kok mukanya tetap jelek si?""",Bullying,22 Desember 2020,@rosameldianti_,,
66,@juniartibs,"""Gila Netizen pada sempurna ngehina orang terus""",Non-bullying,22 Desember 2020,@rosameldianti_,,
67,@zulfaqinan,"""Semua dah pada ngembang… habis di berapa cowo meldi?... enak ya di otak atik""",Bullying,22 Desember 2020,@rosameldianti_,,
68,@dona_pitria,"""Karena muka kayak elo pasaran dan murah…""",Bullying,22 Desember 2020,@rosameldianti_,,
69,@nia_5446,"""Muka buluk kepedean lagi.. muka udah tua""",Bullying,22 Desember 2020,@rosameldianti_,,
70,@tita.titt,"""Muka lu kaya tai wkwkwk""",Bullying,22 Desember 2020,@rosameldianti_,,
71,@harishshandi,"""Sakit jiwa ini upil gajah… Kasihan""",Bullying,22 Desember 2020,@rosameldianti_,,
72,@sila.putri.526,"""Jelek macam buntut kuali hahaha""",Bullying,22 Desember 2020,@rosameldianti_,,
73,@lasi1977,"""Meldi tambah kurusan sekarang ya??? Cantik walaupun tanpa make up…""",Non-bullying,22 Desember 2020,@rosameldianti_,,
74,@anisa_lubis12,"""Elu juga semoga semakinlebih baik dalam segala hal, terutama akhlak dan etikanya""",Non-bullying,31 Desember 2020,@rosameldianti_,,
75,@maryamcici29,"""Mbak mell sehat dan sukses ya""",Non-bullying,31 Desember 2020,@rosameldianti_,,
76,@misscahyani,"""Aamiin. Doa baik juga untuk Meldi""",Non-bullying,31 Desember 2020,@rosameldianti_,,
77,@vito_adn07,"""Selamat tahun baru mbak, semoga jadi pribadi yang lebih baik amin""",Non-bullying,31 Desember 2020,@rosameldianti_,,
78,@prelovedbabyzee_,"""Meldi ini lama lama cantik loh tinggal dibenerin akhlak dan adabnya pasti makin sip""",Non-bullying,31 Desember 2020,@rosameldianti_,,
79,@tkp995,"""Pengambilan fotonya sudah bagus mantap dan keren.. tinggal pengambilan ARWAH nya aja yang belum""",Bullying,18 Desember 2020,@rosameldianti_,,
80,@andipulau123,"""Nggak ada cantik-cantik nya hahaha""",Bullying,18 Desember 2020,@rosameldianti_,,
81,@pmonaapr,"""Kasian editornya sih ini, nanggung dosa banget kayaknya ngeditnya offside gini""",Bullying,18 Desember 2020,@rosameldianti_,,
82,@dongo20200,"""Lama lama mirip dewi persik ya""",Non-bullying,18 Desember 2020,@rosameldianti_,,
83,@arini.3367,"""pada julid padahal kan meldi gak nyusahin kalian""",Non-bullying,18 Desember 2020,@rosameldianti_,,
84,@yunhistia,"""ini foto apa w masukin museum aja ya ga ada pantas2nya""",Bullying,18 Desember 2020,@rosameldianti_,,
85,@adityazuko,"""Nggak ngumpul bareng mami isa lagi kan kamu yang paling gembrot disana""",Bullying,18 Desember 2020,@rosameldianti_,,
86,@drian_riza,"""Lagu lu ga ada yang laku ya mel??""",Bullying,18 Desember 2020,@rosameldianti_,,
87,@dsusilawa,"""Lututnya masih hitam gosok maning biar tambah cling dan cantik""",Bullying,18 Desember 2020,@rosameldianti_,,
88,@agustindian276,"""Suka heran sama warga +62 sukanya ngehujat orang mulu, dapat pahala kagak dosa mah iya""",Non-bullying,18 Desember 2020,@rosameldianti_,,
89,@rosameldiantifansclub,"""Tambah cantik aja rosa meldianti""",Non-bullying,18 Desember 2020,@rosameldianti_,,
90,@teukualmunawir,"""Jadi diri sendiri, jangan jadi ular apalagi dugong""",Bullying,18 Desember 2020,@rosameldianti_,,
91,@choyrohnissaakbar,"""Saya kok suka ya sama mereka harmonis""",Non-bullying,13 Desember 2020,@rosameldianti_,,
92,@riska_wn27,"""Cantik banget kalau pakai baju kayak gitu""",Non-bullying,13 Desember 2020,@rosameldianti_,,
93,@fan_fani001,"""Jujur ya kamu kalo anteng ga buat masalah cantik mel""",Non-bullying,13 Desember 2020,@rosameldianti_,,
94,@satriakiranadwi,"""Cowoknya ga ada cakep cakepnya""",Bullying,13 Desember 2020,@rosameldianti_,,
95,@rubybee_16,"""Di foto tirus.. Kalo di video wariorr kok mukanya kek donat gak ada bentuknya""",Bullying,13 Desember 2020,@rosameldianti_,,
96,@mokarin_a,"""Dari sekian banyak foto yang diposting, ini yang paling cantik""",Non-bullying,11 Desember 2020,@rosameldianti_,,
97,@rubybee_16,"""Artis abal-abal.. Muka putih tangan hitam… ager2 ATM nya udah isi berapa sekarang""",Bullying,11 Desember 2020,@rosameldianti_,,
98,@pendekar_payunghitam,"""Itu muka kayak penuh tekanan banget""",Bullying,11 Desember 2020,@rosameldianti_,,
99,@macankonner_streetfighter,"""@rosameldianti_ cowokmu wajah nya culun dan cupu kayak om2""",Bullying,11 Desember 2020,@rosameldianti_,,
100,@yulimaya89,"""Masyaallah cantik terlihat sopan dan anggun""",Non-bullying,11 Desember 2020,@rosameldianti_,,
101,@mywibowo,"""Kang ojek kali belang tangannya""",Bullying,11 Desember 2020,@rosameldianti_,,
102,@juniartibs,"""Seneng liat pasangan ini cewenya di hujat 1 indonesia tapi dia tetep setia nemenin""",Non-bullying,11 Desember 2020,@rosameldianti_,,
103,@santosodimas23,"""Dia memutuskan menjadi tumbal apartment""",Bullying,11 Desember 2020,@rosameldianti_,,
104,@thirsthing,"""makin cantik mel, semangat dietnyaa""",Non-bullying,11 Desember 2020,@rosameldianti_,,
105,@fitrysyakieb,"""Itu tangan apa paha haha….""",Bullying,11 Desember 2020,@rosameldianti_,,
106,@mamggala,"""Mel disini kamu keliatan cakep""",Non-bullying,11 Desember 2020,@rosameldianti_,,
107,@ajengrahayu80,"""Mukanya kayak lagi ngeden pas boker""",Bullying,11 Desember 2020,@rosameldianti_,,
108,@biankarachel,"""Aduuh.. terlalu halu.. hhahaha lebay editan nyaa lemak kemana lemak… hahhaaa.. mimpi ketinggian..""",Bullying,7 Desember 2020,@rosameldianti_,,
109,@moca_caca_,"""salfok sama kaki, tapi cantik banget asli""",Non-bullying,7 Desember 2020,@rosameldianti_,,
110,@ajengrahayu80,"""@_dy1412 buset cantik diedit aja mba, coba dah aslinya dah kayak buntelan kentut…""",Bullying,7 Desember 2020,@rosameldianti_,,
111,@sufiliams,"""atas bawah hitam putih, kek kopi luwak""",Bullying,7 Desember 2020,@rosameldianti_,,
112,@kikysisilyaa,"""Palsu badane diedit semua tu, aslinya dimana2 lemak""",Bullying,7 Desember 2020,@rosameldianti_,,
113,@taniaaw123,"""Udah dapat kontrak dari skincare ttp aja buluk mel""",Bullying,7 Desember 2020,@rosameldianti_,,
114,@bunda_jannah,"""heran sama netizen klo gk suka jangan diliat aja""",Non-bullying,7 Desember 2020,@rosameldianti_,,
115,@sanainahpurnamasari,"""sukses selalu yah ka @rosameldianti_ semangat""",Non-bullying,7 Desember 2020,@rosameldianti_,,
116,@rereresty94,"""Jujur aku lebih suka meldi yang sekarang daripada yang dulu suka ngehujat orang""",Non-bullying,7 Desember 2020,@rosameldianti_,,
117,@santi_azkadinasakhi,"""sumpah aslinya muka lo lebar kayak baskom loh mel @rosameldianti_""",Bullying,7 Desember 2020,@rosameldianti_,,
118,@cece_rossalien,"""Berkarya teros meldi walo ga ada yg nuntun kamu.""",Non-bullying,7 Desember 2020,@rosameldianti_,,
119,@wats_yor_namber,"""Astaghfirullah, seram sekali ya bun seperti ular jelmaan makhluk halus ya bun""",Bullying,30 November 2020,@rosameldianti_,,
120,@choyrohnissaakbar,"""Dan yang paling saya heran cowokpun ikut ngebully, sabar meldi.""",Non-bullying,30 November 2020,@rosameldianti_,,
121,@rubybee_16,"""Astaga… Ratu edit muka.. Sumpah seren kayak film setan2 gitu…..""",Bullying,30 November 2020,@rosameldianti_,,
122,@fita_farah ,"""Matanya kayak katarak anjir AHAHAH""",Bullying,30 November 2020,@rosameldianti_,,
123,@amandanna30,"""Caption aja COPAS! Cantumin credit dong, dasar iblis""",Bullying,30 November 2020,@rosameldianti_,,
124,@julypit_ ,"""Unfoll aja daripada kalian dosa ngebully2 terus..""",Non-bullying,30 November 2020,@rosameldianti_,,
125,@hamzahifidafadafa,"""Meldi aku perhatikan kamu seperti orang china deh.. cantik""",Non-bullying,30 November 2020,@rosameldianti_,,
126,@kikysisilyaa,"""Editan softlensnya keluar itu mbaknya, kayak ratu titisan ular kamu wkwkwk""",Bullying,30 November 2020,@rosameldianti_,,
127,@neng_fitri_masraina,"""Kasihan ular dibawa bawa kamu gak pantas jadi ular pantasnya jadi bunglon atau buaya..""",Bullying,30 November 2020,@rosameldianti_,,
128,@evaelvaninda,"""Maju trus ya sayang.. abaikan orang2 yg comment menyakitkan""",Non-bullying,30 November 2020,@rosameldianti_,,
129,@bilqistiarais,"""Kasihan ya kamu @rosameldianti_ Hidup sekali cuman buat bahan hujatan masyarakat… Mubadzir banget deh hidup lo… Napa gak bunuh diri aja?""",Bullying,30 November 2020,@rosameldianti_,,
130,@kevin_mara88,"""Semangat mel, bahasa asing mah yang penting kita berani pasti entarnya bisa""",Non-bullying,10 Januari 2021,@rosameldianti_,,
131,@sidrarachman,"""Beda sama d foto yaa.. Disini lebar banget mukanya maaf itu kalau foto editan ya""",Bullying,10 Januari 2021,@rosameldianti_,,
132,@innetrii,"""Meldi meskipun kadang mulut ku tak bisa di rem karena kehaluanmu, tapi aku bangga akan berusaha mu, yuhuuu""",Non-bullying,10 Januari 2021,@rosameldianti_,,
133,@indrilestari091197,"""Lupa di edit ya tu muka melar""",Bullying,10 Januari 2021,@rosameldianti_,,
134,@luvmeltedcheese,"""Semangatt, kesalahan dalam belajar bahasa asing itu penting. Karena itu pembelajaran utamanya, supaya kesalahannya ga terulang""",Non-bullying,10 Januari 2021,@rosameldianti_,,
135,@macorask,"""Kereennnn.. dari bully.an netizen menjadikanmu mau belajar""",Non-bullying,10 Januari 2021,@rosameldianti_,,
136,@vellan_qerry_xeynando,"""Hiiihhh jiik lihat nih orang… auranya buruk bgt gak ada manis manisnya""",Bullying,10 Januari 2021,@rosameldianti_,,
137,@fimauni,"""Semangat untuk belajar ya… saya uga gak bisa bahasa inggris""",Non-bullying,10 Januari 2021,@rosameldianti_,,
138,@lie_3071,"""Yang penting ada niat.. dan keberanian""",Non-bullying,10 Januari 2021,@rosameldianti_,,
139,@momski_sri,"""Salut Mel.. semangat belajar, yg ngetawain juga belum tentu bisa Dan berani..""",Non-bullying,10 Januari 2021,@rosameldianti_,,
140,@yoan_gunarto22,"""Gpp Mel semangat buat belajar trusssss jangan gampang nyerah pokoknya @rosameldianti_""",Non-bullying,10 Januari 2021,@rosameldianti_,,
141,@qoriah7588,"""Setidaknya dia ngaku. bukan belagak pintar""",Non-bullying,10 Januari 2021,@rosameldianti_,,
142,@apelu.liat2,"""Masih jauh kalo ngarep bisa ikutan kontes miss earth , makanya dari kecil les inggris biar lidahnya gak keseleo""",Bullying,10 Januari 2021,@rosameldianti_,,
143,@tiara_amd,"""Cuma di postingan ini ya bund netizen sedikit yang menghujat""",Non-bullying,29 November 2020,@rosameldianti_,,
144,@pikoochar,"""Happy birthday Mel sehat dan Sukses yah, Aamiin""",Non-bullying,29 November 2020,@rosameldianti_,,
145,@dwitrynurvita,"""Happy Birthday kak Meldi yang imut n ngegemesin. Tambah sukses selalu""",Non-bullying,29 November 2020,@rosameldianti_,,
146,@goldyfonda,"""Ya ampun ketiak dan lemaknya editan parah wkwk""",Bullying,29 November 2020,@rosameldianti_,,
147,@wina_lim0922,"""Ketiaknya habis di amplas mel, alus banget""",Bullying,29 November 2020,@rosameldianti_,,
148,@kimoratwindy,"""Udah diedit gitu, ketiak lu tetap hitam""",Bullying,29 November 2020,@rosameldianti_,,
149,@zamaleling,"""Selamat ulang tahun mel, udah yah jangan banyak tingkah""",Non-bullying,29 November 2020,@rosameldianti_,,
150,@jualconversesecond24,"""Mukanya kuning banget kaya kunyit""",Bullying,29 November 2020,@rosameldianti_,,
151,@harhexa,"""Selamat ulang tahun meldi sukses dan sehat terus ya….""",Non-bullying,29 November 2020,@rosameldianti_,,
152,@rika_chuby,"""Fotonya lainnya jangan yang ini, kan masih banyak yang lebih cantik ihhh biar gak kena hujat kamu ihh, aku mah kasihan""",Non-bullying,29 November 2020,@rosameldianti_,,
153,@raffa_wahyu_abadi88,"""HBD meldi… Semoga sukses selalu dan panjang umur dan rejekinya di lancarkan.. Amin""",Non-bullying,29 November 2020,@rosameldianti_,,
154,@idcwhouareee,"""Perasaan kemarin lengannya kekar banget kek petinju, udah gitu ketiaknya juga hitam. Kok difoto ini lengannya jadi kecil, ketiaknya putih kek dibedakin""",Bullying,29 November 2020,@rosameldianti_,,
155,@_simaistia25bu,"""Selamat Ulang Tahun kak @rosameldianti_, banyaknya sadar dan jangan pansos lagi yah. Amin""",Non-bullying,29 November 2020,@rosameldianti_,,
156,@pipidz888,"""Hbd cantik semoga kedepannya tambah sukses""",Non-bullying,29 November 2020,@rosameldianti_,,
