No.,Nama Instagram,Komentar,Kategori,Tanggal Posting,Nama Akun IG  Artis/Selebgram,,
157,@niken_mutiara_sary,"""Hbd mbak mel tambah cantik di panjangkan umurnya dan sehat selalu""",Non-bullying,29 November 2020,@rosameldianti_,,
158,@oliviacheecerezta,"""berdiri di kaki sendiri lebih baik""",Non-bullying,29 November 2020,@rosameldianti_,,
159,@_syakilaadinan_,"""Biar di edit2 kaya apa juga tetap aja ketiak hitam nya ga bisa di bohongin""",Bullying,29 November 2020,@rosameldianti_,,
160,@ulfahh_zakiya,"""Sumpah demi apapun.. Lengan nya gede banget""",Bullying,29 November 2020,@rosameldianti_,,
161,@ummu.valen,"""Selamat ulang tahun panjang umur sampai ketemu dajjal""",Bullying,29 November 2020,@rosameldianti_,,
162,@dicka_1991,"""Ketiak hitam buluk mau lu edit nutupin daki diketek lu tetap aka hitam ketiak lu, dasar Dugong @rosameldianti_""",Bullying,29 November 2020,@rosameldianti_,,
163,@ridho52517,"""Di atm tinggal 150 ribu aja banyak gaya lu dugong""",Bullying,29 November 2020,@rosameldianti_,,
164,@indah_zahin,"""Gak ada bagus2nya suara dan polanya….""",Bullying,29 November 2020,@rosameldianti_,,
165,@ginaiswahyuningsih,"""Si Meldi jelek aja banyak gaya. Beda banget sm tante n sepupunya yang udah jelas2 cantik""",Bullying,29 November 2020,@rosameldianti_,,
166,@sasqiaraz,"""Tapi dia sekarang dah berubah gak kayak dulu kalau yang gue lihat""",Non-bullying,29 November 2020,@rosameldianti_,,
167,@darkangel025_,"""Ngedit ketiaknya berapa lah dah itu ya ampe ngeblur pisan.. Putihnya kek cat tembok""",Bullying,29 November 2020,@rosameldianti_,,
168,@biankarachel,"""Aduh dugong masih aja gila filter….""",Bullying,29 November 2020,@rosameldianti_,,
169,@zaskiaaaa97,"""Sekarang bukan muka aja yang didempul, tapi ketiak juga""",Bullying,29 November 2020,@rosameldianti_,,
170,@awanpanas125,"""Kasian kebelet artis tapi gak punya bakat""",Bullying,29 November 2020,@rosameldianti_,,
171,@hugoovianaaa,"""Yang merasa peliharaannya lepas, tolong diangkut""",Bullying,29 November 2020,@rosameldianti_,,
172,@christinaona5,"""Miris banget… ultah bukan didoain yang baik2 tapi tetap di bully kasian !! God bless u mel""",Non-bullying,29 November 2020,@rosameldianti_,,
173,@lunaaluna91,"""Mudah mudahan lu jadi gembel. Amin ya Allah""",Bullying,29 November 2020,@rosameldianti_,,
174,@putri_lintang0,"""Ketiaknya hitam dikasih bedak jadi nya abu"" monyet""",Bullying,29 November 2020,@rosameldianti_,,
175,@ananda_dhenanda,"""Heran gua mah kalau gasuka gausah di follow dah tau ni akun private kalo lu tetap follow dan ngebuli tanda nya lu sirik. Gasuka ya gausah diliat, kaya dirinya sempurna aja""",Non-bullying,29 November 2020,@rosameldianti_,,
176,@forthriftpurpose,"""Gua berharap lu aja si yg sakit bukan laura lol""",Bullying,8 Agustus 2020,@gagamuhammad,,#VALUE!
177,@lailyfazriah,"""Harusnya lo aja yang menderitaaa bukan lora anj!!!!!!!!!""",Bullying,8 Agustus 2020,@gagamuhammad,,
178,@masihadanamanya,"""GAGA SEMPET BENERAN LORA LO TINGGALIN, LO ORANG PALING JAHAT GA!!!! LO GAK BAKAL BAHAGIA GA""",Bullying,8 Agustus 2020,@gagamuhammad,,
179,@nandaanvta_,"""Lu bener' ga.kalo sempet nyakitin lora gue santet!!!!!""",Bullying,8 Agustus 2020,@gagamuhammad,,
180,@ptriazkytlf,"""Si gaga kok kek anjing""",Bullying,8 Agustus 2020,@gagamuhammad,,
181,@dandipriambodo,"""Semangat gaga, jangan liat kebelakang fokus aja kedepan, masih muda masih banyak yg lebih baik juga.""",Non-bullying,8 Agustus 2020,@gagamuhammad,,
182,@fauziahamanda_02,"""Gak ada cantiknya. Gila yang ada""",Bullying,13 Januari 2021,@rosameldianti_,,
183,@rezaadhitia_,"""meldi makin bersinar yaaa, pertahanin karir jgn di sia siain""",Non-bullying,13 Januari 2021,@rosameldianti_,,
184,@anq.olshop,"""Tetap semangat…. sebaik apapun kamu akan dalah Dimata pembenci…..""",Non-bullying,13 Januari 2021,@rosameldianti_,,
185,@maya_purple14,"""Asli gak ada bebet bobo ni anak. kasihan sekali.""",Bullying,13 Januari 2021,@rosameldianti_,,
186,@hannyjamal33,"""kumat… lama semedinya segini keluarnya""",Bullying,13 Januari 2021,@rosameldianti_,,
187,@zulfaqinan,"""Tangannya hitam… beda ama muka""",Bullying,13 Januari 2021,@rosameldianti_,,
188,@sabil.naura.2,"""Kok meldi di foto aku gendut beda""",Bullying,13 Januari 2021,@rosameldianti_,,
189,@adiknya_wwatch.ig,"""Gatau sih, cantik tapi gak ada aura nya sama sekali . Cantik tapi idih gitu lihatnya , kenapa yaa ??""",Bullying,13 Januari 2021,@rosameldianti_,,
190,@dewie_ten11,"""Baik buruk nya kamu akan tetap terlihat buruk di mata mereka yang ga menyukai mu..""",Non-bullying,13 Januari 2021,@rosameldianti_,,
191,@louizee_fa,"""Gila ni siluman,, di story orang lain keliatan banget tumpukan2 lemaknya, buriknya apalagi""",Bullying,13 Januari 2021,@rosameldianti_,,
192,@hendrik_baronn,"""Dasar Bego lu.. gua jijik sama lu bro kayak gak punya otak banget""",Bullying,5 Mei 2020,@ferdianpalekaa00,,
193,@adellaberrr,"""Lo kira lo bagus tuh begitu anjing wkwkw""",Bullying,5 Mei 2020,@ferdianpalekaa00,,
194,@ha_ri2431,"""Di maafin aaa… semoga dia jera untuk kedepannya…""",Non-bullying,5 Mei 2020,@ferdianpalekaa00,,
195,@kicek_kocak,"""Eh bocah mending Lo mati aja GAK guna juga ada orang kayak lo hahahahaha""",Bullying,5 Mei 2020,@ferdianpalekaa00,,
196,@azzamyluth6802,"""Btw yang video tapi boong itu dia buat nya tahun lalu bukan pas masalah yang sekarang kalau gak percaya lihat tribun news jadi jangan hujat dia lagi ya""",Non-bullying,5 Mei 2020,@ferdianpalekaa00,,
197,@louis.edrt,"""Okay bro kalem aja, tetap semangat dan jangan putus asa""",Non-bullying,5 Mei 2020,@ferdianpalekaa00,,
198,@fran_oez11,"""Lu Mati ajalah . Udah biar gak bikin ribet""",Bullying,5 Mei 2020,@ferdianpalekaa00,,
199,@setiawan_jo22,"""SAMPAH MASYARAKAT HARUS DI MUSNAHKAN SEGERA""",Bullying,5 Mei 2020,@ferdianpalekaa00,,
200,@iibaaall,"""MATI KAU NAJIS KONTOL BANGSAT MATI KAU""",Bullying,5 Mei 2020,@ferdianpalekaa00,,
201,@setyawan_yoyok,"""youtuber toxic, tutup akunmu sekalian tutup usia""",Bullying,5 Mei 2020,@ferdianpalekaa00,,
202,@gunawan_fahreza,"""Pada ribet kayak udah pada benar aja lu semua""",Non-bullying,5 Mei 2020,@ferdianpalekaa00,,
203,@zr_cho,"""Jangan ada hitam diatas putih. Langsung proses""",Non-bullying,5 Mei 2020,@ferdianpalekaa00,,
204,@farhanaja_,"""Kalau sayang sama anaknya ya di serahkan aja ke polisi biar di didik sekalian""",Non-bullying,5 Mei 2020,@ferdianpalekaa00,,
205,@lastriani05,"""Manusia apa hewan sih kok gak punya hati banget""",Bullying,5 Mei 2020,@ferdianpalekaa00,,
206,@adhiprasetyop,"""Manusia anjing. Nyari uang gitu amat. Lo kerja aja sama gue nyebokin gue ntar gue gaji lo.""",Bullying,5 Mei 2020,@ferdianpalekaa00,,
207,@arief_metafora_,"""maklum anak kurang pendidikan kayak gitu gak punya akhlak""",Bullying,5 Mei 2020,@ferdianpalekaa00,,
208,@mr_mantako,"""Anjing memang anak gak tau diri. ibunya sampai nangis2""",Bullying,5 Mei 2020,@ferdianpalekaa00,,
209,@erikkansona,"""oi babi gue bunuh lu kalau sampai kelihatan sumpah""",Bullying,22 Mei 2020,@ferdianpalekaa00,,
210,@bagusssrh,"""Heee sampah lu udah gua maafin TAPI BOONG GOBLOK""",Bullying,22 Mei 2020,@ferdianpalekaa00,,
211,@ibnufasha_16,"""ANJING SINI LO BAKU HANTAM AYO""",Bullying,22 Mei 2020,@ferdianpalekaa00,,
212,@zibah25,"""Bangkit ya bang jangan lemah buat pelajaran dan ujian buat lu jadi yang lebih baik lagi bang""",Non-bullying,28 Juni 2020,@ferdianpalekaa00,,
213,@adeellristi13_,"""Jangan patah semngat kak sukses terus""",Non-bullying,28 Juni 2020,@ferdianpalekaa00,,
214,@onlyone_dhii,"""Semangat Ferdian gausah dengerin orang yang hujat kamu, karena semua manusia tidak luput dari kesalahan""",Non-bullying,28 Juni 2020,@ferdianpalekaa00,,
215,@zanuri111,"""Sumpah sekarang aku respect banget sama kamu""",Non-bullying,28 Juni 2020,@ferdianpalekaa00,,
216,@jannah.henna,"""Menurutku pribadi, dia tulus minta maafnya….""",Non-bullying,28 Juni 2020,@ferdianpalekaa00,,
217,@26cc.l,"""DIKASIH BIDADARI MAUNYA BONEKA SANTET""",Bullying,20 Maret 2020,@eeericko,,
218,@lidiii.lyy16,"""Ilang respect gue.. padahal jane udh setia bgt sama lu, tapi lu nya main cewe pas udh keluar dri penjara.. lol""",Non-bullying,20 Maret 2020,@eeericko,,
219,@frdriko_,"""Hapus ajh ni poto ngk tau malu bgt lu bang""",Non-bullying,20 Maret 2020,@eeericko,,
220,@izgraphic,"""Intinya gasuka ajg selama ada listy . Ngrusak suasana""",Bullying,20 Maret 2020,@eeericko,,
221,@agrapranaaaaaa,"""Di foto ini ada 2 anjing dan 1 kontol""",Bullying,20 Maret 2020,@eeericko,,
222,@bilqissiee,"""kasian banget Jane udah nunggu keluar penjara eh taunya :), waw sakit siih""",Non-bullying,20 Maret 2020,@eeericko,,
223,@candrwijya,"""Puny cewk baik di selingkuhin g ngotak""",Bullying,20 Maret 2020,@eeericko,,
224,@yusuf_rafi20,"""Inget yg di potong itu masalah nya bukan hubungan nya, tapi kalo udah gini sembeleh aja orang nya :) udah terlanjur kecewa""",Bullying,20 Maret 2020,@eeericko,,
225,@shinlamanepa,"""Ini buat konten.. masa putus foto tabi sama jessica engga dihapus ?""",Non-bullying,20 Maret 2020,@eeericko,,
226,@ajilpoo_,"""Tiap mau makan dibikin ama jess tpi malah ngehianatin gila sih""",Non-bullying,20 Maret 2020,@eeericko,,
227,@frdriko_,"""Parah lu bang nama lu udh rusak karna narkoba malah nambah masalah ajh truss""",Non-bullying,20 Maret 2020,@eeericko,,
228,@guardo_purbaa,"""Ini anjing Kok mirip ya sama Erick""",Bullying,20 Maret 2020,@eeericko,,
229,@_ilhammputra,"""Muka Pas""an sok sok an mau sm lonte lo anjing""",Bullying,20 Maret 2020,@eeericko,,
230,@keylanamira01,"""Lu sama anjingnya, lebih baik anjingnya""",Bullying,20 Maret 2020,@eeericko,,
231,@jeremyya_,"""IH ADA BABI JGN MEGANG TUH ANJING HARGA DIRINYA LEBIH TINGGI DRIPADA LO""",Bullying,20 Maret 2020,@eeericko,,
232,@lukmanul.16,"""Santuy aja bang ga usah di tanggepin,btw gw suka gaya lo""",Non-bullying,20 Maret 2020,@eeericko,,
233,@allyv_zkrri,"""Narkoboy kontol, Cuma bisa maen cewe sama nyakitin doang lu anjing, mati aja lu bego""",Bullying,20 Maret 2020,@eeericko,,
234,@kirananti1,"""TETEP PENJARA AJA AJG NYUSAHIN LO KELUAR""",Bullying,20 Maret 2020,@eeericko,,
235,@hijabmurah.reseller,"""cewe cakep, setia kok disia sia in sahabat""",Non-bullying,20 Maret 2020,@eeericko,,
236,@lesyaarr,"""loh kok ak liatnya anjing semua yaa""",Bullying,20 Maret 2020,@eeericko,,
237,@dian.iswr,"""Anjingnya ada dua kok guys, tapi kok lagi satu gue liat ada babi item""",Bullying,20 Maret 2020,@eeericko,,
238,@_mang_agus_,"""Mantan Anjing, eh kebalik anjing mantan""",Bullying,20 Maret 2020,@eeericko,,
239,@niko_panji.bp,"""Bikin skandal karena kepengen tenar?""",Non-bullying,20 Maret 2020,@eeericko,,
240,@randy.bm_,"""Wiii anjay kapan lagi liat babi megang 2 anjing""",Bullying,20 Maret 2020,@eeericko,,
241,@vrtma24,"""Ini adalah foto babi sedang memeluk anjing yg pemilik nya adalah bidadari""",Bullying,20 Maret 2020,@eeericko,,
242,@cyr.yra,"""Babi g pantes nyentuh anjingnya bidadari, nanti kotor.""",Bullying,20 Maret 2020,@eeericko,,
243,@liviarmdhy,"""SESAMA ANJING FOTO DULU YA KAN""",Bullying,20 Maret 2020,@eeericko,,
244,@nayyx_ra,"""potret seorjing memegang anjing kwkw""",Bullying,20 Maret 2020,@eeericko,,
245,@fckngmelowedtz_,"""HEH UDH NAPA HATE NYA CAPE GW BACA NYA""",Non-bullying,20 Maret 2020,@eeericko,,
246,@orangejusi,"""WADUH MALAH LEBIH GANTENG ANJINGNYA. EH EH BAHKAN LU GA PANTES DISEBUT ANJING. ANJING KAN SETIA PANTESNYA SIH BABI HAHAHAHA""",Bullying,20 Maret 2020,@eeericko,,
247,@biancapratiwi_,"""kalo lomba sama""an sm babi, babi nya nmr 2""",Bullying,20 Maret 2020,@eeericko,,
248,@eulisriskasbla,"""Si anjing ketika berfoto dengan si anjing""",Bullying,20 Maret 2020,@eeericko,,
249,@alyafdhlh_,"""Kak jessica yg nungguin+setia sm kk loh pas ad masalah kmrn. Tapi kk ga ngehargain malah lbh milih yg d sono""",Non-bullying,20 Maret 2020,@eeericko,,
250,@paris.saintjerman,"""erikontolim manusia babi anak lonte""",Bullying,20 Maret 2020,@eeericko,,
251,@alshvfdl,"""HARGAILAH HATI WANITA YANG UDH TULUS NEMENIN LO DARI 0!!!""",Non-bullying,20 Maret 2020,@eeericko,,
252,@umawww_,"""Tapi bagus sih erick mutusin Jessica ya karna Erick kelakuan ny begituu coba liat Jessica""",Non-bullying,20 Maret 2020,@eeericko,,
253,@immjeafhlvi_,"""Anjing sekarang hebat ya, bisa pake kacamata""",Bullying,20 Maret 2020,@eeericko,,
254,@syafafalasifah,"""Sdh lh nasi udah jdi bubur ga bisa lagi dibentuk kek semulaaa""",Non-bullying,20 Maret 2020,@eeericko,,
255,@ferdiikun,"""Kukira kehadiranmu akan menjadi sesuatu kebanggaan, ternyata tidak""",Non-bullying,20 Maret 2020,@eeericko,,
256,@raihan.kh,"""Ada 3 Ajg Dan Yg Punya Tato Bener2 Ajg""",Bullying,20 Maret 2020,@eeericko,,
257,@epannalzz,"""dasar orang tua gada akhlak,ngajarin anaknya yang ga bener""",Bullying,20 Maret 2020,@eeericko,,
258,@kvnsktta,"""Erik kenapa sih? Ada yang bisa jelasin gw ga update soalnya.. maap2""",Non-bullying,20 Maret 2020,@eeericko,,
259,@gilbert_gotardo,"""Eh jangan dekat dekat sama anjingnya ci Jessica gua lempar lu""",Bullying,20 Maret 2020,@eeericko,,
260,@leonardis445,"""guys dr pd comment2 mending unfoll sm unsubscribe aja yaa""",Non-bullying,20 Maret 2020,@eeericko,,
261,@qnfkn,"""Babi lagi main ma anjing :)""",Bullying,20 Maret 2020,@eeericko,,
262,@njums_0101,"""Dikasi BIDADARI MALAH PILIH BABI""",Bullying,20 Maret 2020,@eeericko,,
263,@abrxrr,"""Postingan pertama jg dihujat dong gila netijen""",Non-bullying,20 Maret 2020,@eeericko,,
264,@mosessavero_,"""BARU KALI INI LIHAT ANJING SAMA BABI BAIKAN…""",Bullying,20 Maret 2020,@eeericko,,
265,@kgaadanamany,"""Dikasih bidadari malah milih setan""",Bullying,20 Maret 2020,@eeericko,,
266,@amytwbw_y4to3hand,"""Padahal gw g mau benci ama lu bro, tpi ada aja tingkah lu yang melenceng:(""",Non-bullying,20 Maret 2020,@eeericko,,
267,@nnunnoadrn_,"""SIKAP MU LEBIH NAJIS DARIPADA LUDAH ANJING!""",Bullying,20 Maret 2020,@eeericko,,
268,@RZIKIILHAM568,"""Njir meskipun udh lama nih poto di post tapi masih banyak yg komen baru2""",Non-bullying,20 Maret 2020,@eeericko,,
269,@nisauliaaa._,"""kesini cmn mo liat komen aja""",Non-bullying,20 Maret 2020,@eeericko,,
270,@mhmmdtaufik_7,"""Buset hate comment ampe postingan paling bawah""",Non-bullying,20 Maret 2020,@eeericko,,
271,@_nia_zzhh,"""Foto di upload nya 20 maret yang comment 1 jam 2 jam 3 jam yg lalu""",Non-bullying,20 Maret 2020,@eeericko,,
272,@hamdiham_71,"""Pantes banyak utang buat bayar lonte""",Bullying,20 Maret 2020,@eeericko,,
273,@im.timothy_,"""2 3 tutup botol muka lu kek kontol wkwk""",Bullying,20 Maret 2020,@eeericko,,
274,@callme__riska26,"""astaga masih pagi dibikin ngakak ama komenan netijen yg ngmng suka bener""",Non-bullying,20 Maret 2020,@eeericko,,
275,@kepo.luanjng_,"""Dah lah. Gw capek baca komen kalian""",Non-bullying,20 Maret 2020,@eeericko,,
276,@filsiyiii,"""Keliatan bgt anjingnya ketakutan foto sama dakjal""",Bullying,20 Maret 2020,@eeericko,,
277,@andrydhstywn,"""Astaga ngehujat sampe postingan paling bawah""",Non-bullying,20 Maret 2020,@eeericko,,
278,@suka.prihatin,"""Lebih najis elu daripada anjing!""",Bullying,20 Maret 2020,@eeericko,,
279,@reandraalkautsr_,"""2 ekor anjing dan satu buaya makan jambut""",Bullying,20 Maret 2020,@eeericko,,
280,@ramdhn._.n,"""Kalo disuruh melihara anjing/eric gw pilih anjing aja meski Najis tapi lebih najisan erick kontol""",Bullying,20 Maret 2020,@eeericko,,
281,@rakaakmaall,"""Ngapain si pada ngejudge? Mikir dulu lah dia putus juga sebelum kejadian itu tolol""",Non-bullying,20 Maret 2020,@eeericko,,
282,@rikaas0805,"""Hargai wanitamu dia didekati banyak pria tetapi tetap memilihmu""",Non-bullying,20 Maret 2020,@eeericko,,
283,@_raibaru19,"""Ternyata sipat anjing bukan hanya ada di anjing doang ya,di manusia sipat anjing juga ternyata ada""",Bullying,20 Maret 2020,@eeericko,,
284,@rafaelardan_,"""Potret ketika anjing poto dengan setan""",Bullying,20 Maret 2020,@eeericko,,
285,@ananddmanangkasi,"""BANTU BEDAINN WOYY MANA ANJING MANA BABI""",Bullying,20 Maret 2020,@eeericko,,
286,@aji_0310,"""Udaah woii udahh lu gak kasihan apa…. Aku capek ngelike komenan kalian""",Non-bullying,20 Maret 2020,@eeericko,,
287,@gudlukinhmn,"""3 anjing 1 anjing berwujud manusia, 2 anjing asli tak ada perwujudan aowkwkw""",Bullying,20 Maret 2020,@eeericko,,
288,@trishapermata,"""Kasian gue sama anjingnya dipegang dajjal""",Bullying,20 Maret 2020,@eeericko,,
289,@rizal.saputraa_,"""Kasian anjing nya di pegang babi""",Bullying,20 Maret 2020,@eeericko,,
290,@boyvoyej,"""Lo itu kontol gak guna ajg anak dakjal""",Bullying,20 Maret 2020,@eeericko,,
291,@hydir.syptra_24,"""mukak lu lebih buruk daripada anjing lu""",Bullying,20 Maret 2020,@eeericko,,
292,@ganimhermawan,"""dikasi yang bening malah milih yang dakian""",Bullying,20 Maret 2020,@eeericko,,
293,@dhirgalambe,"""Mending masuk penjara lagi aja dah seumur hidup""",Bullying,20 Maret 2020,@eeericko,,
294,@deksiyan_,"""Kok lbih lucu anjingnya ya ktimbang orangnya""",Bullying,20 Maret 2020,@eeericko,,
295,@ninini.nt,"""Akhirnya jesica bisa lepas dari kambing hitam ini""",Bullying,20 Maret 2020,@eeericko,,
296,@rayyan11079,"""Maafin Aja Bro Semua Orang Pasti Ada Kesalahan Dia Juga Pasti Ada Kesalahan Nasehatin Aja Siapa Tau Dia Berubah""",Non-bullying,20 Maret 2020,@eeericko,,
297,@delvyanawuu,"""Kasian anjingnya dipeluk sma sampahh""",Bullying,20 Maret 2020,@eeericko,,
298,@nico_muhammad99,"""Gua kira keluar dari PENJARA bisa berubah""",Non-bullying,20 Maret 2020,@eeericko,,
299,@nyanya6300,"""Cintamu hanya sebatas kertas wkwkw enteng bang""",Non-bullying,20 Maret 2020,@eeericko,,
300,@shashaan_,"""Padahal sejak dia sama Jane aku lebih respect :( skrg bener2 udah hilang respect :(""",Non-bullying,20 Maret 2020,@eeericko,,
301,@moonicagstt,"""udah nemenin dari masa tersulit lo pas udah keluar malah selingkuh, ga nyangka idola gua sesampah itu.""",Bullying,20 Maret 2020,@eeericko,,
302,@meidika29500,"""Dihujat habis""an semua postingan lama ada komen baru wkwk""",Non-bullying,20 Maret 2020,@eeericko,,
303,@eeeannisa,"""Gua gabisa bedain mana anjing mana manusia, keliatannya sama""",Bullying,20 Maret 2020,@eeericko,,
304,@_abiyyuatha,"""Lu mirip anaknya kick andy yg namanya marlo bang""",Non-bullying,26 Maret 2020,@eeericko,,
305,@gevin.reski,"""Kenapa ada orang baik ? Karna ada orang jahat""",Non-bullying,26 Maret 2020,@eeericko,,
306,@elgistazmn,"""Ngga ada niatan ngadain pengajian gitu bang?""",Non-bullying,26 Maret 2020,@eeericko,,
307,@destiatnrr_,"""Suka banget sama rambutnyaa tambah ganteng""",Non-bullying,26 Maret 2020,@eeericko,,
308,@seedflyy,"""@abatartila Ada ada aja kaya gini di bilang king, king muke nya udh kaya tai musang""",Bullying,26 Maret 2020,@eeericko,,
309,@lanzx.ml,"""Ninggalin berlian demi tai babi dih""",Bullying,26 Maret 2020,@eeericko,,
310,@hafizdonjuan,"""ganteng kaga lu begitu malah keliatan kaya daki kontol""",Bullying,26 Maret 2020,@eeericko,,
311,@aliffprmanaa,"""Mukak lo kayak tapir kuda asu sok ganteng banget lo""",Bullying,26 Maret 2020,@eeericko,,
312,@anjuketaren,"""Banyak yg kecewa karena lu begini rik!!!!""",Non-bullying,26 Maret 2020,@eeericko,,
313,@maymichelle99,"""Maap ye…muke lu udh jelek kaga usah sok selingkuh,cakepan anjing gua noh""",Bullying,26 Maret 2020,@eeericko,,
314,@ekoxapriyanto,"""Apa si hebatnya banci yg badannya penuh koreng kaya lo""",Bullying,26 Maret 2020,@eeericko,,
315,@zorgiansyah,"""Gini dong bersihan kaga kek tahun tahun sebelumnya dekil""",Bullying,26 Maret 2020,@eeericko,,
316,@anisazaharaf,"""Muka lu keriput kek aki aki""",Bullying,26 Maret 2020,@eeericko,,
317,@wijaya_stanleyp9,"""Foto jelek dihujat, foto ganteng dibilang sok ganteng""",Non-bullying,26 Maret 2020,@eeericko,,
318,@rejabiann,"""kebanyakan nyabu jadi kurus lu""",Bullying,28 Maret 2020,@eeericko,,
319,@robilmlna,"""NARKOBOYY NGELUARIN LIDAHH, AJG MAU APA, MAU TES URIN""",Bullying,28 Maret 2020,@eeericko,,
320,@evan_01_,"""Fotolu pede anjrit muka lu tu anjrit""",Bullying,28 Maret 2020,@eeericko,,
321,@ahmd_yahdi,"""Hidup itu jngn keterlaluan boss playboy amat ajg luu""",Bullying,28 Maret 2020,@eeericko,,
322,@xxyszx,"""Mukalu kek aktor bokep bgst mending ngobat aja luu""",Bullying,28 Maret 2020,@eeericko,,
323,@regitaaeh,"""dah jelek semangattt pulak WKWK""",Bullying,28 Maret 2020,@eeericko,,
324,@retfyfiani,"""Muka nya kok gitu, seren bikin mual liatnya""",Bullying,28 Maret 2020,@eeericko,,
325,@riotw35,"""Sana anjing ngewe ama lonte bangsat""",Bullying,28 Maret 2020,@eeericko,,
326,@squad_nihh_boss_official,"""Muka kek kontol mending di penjara""",Bullying,28 Maret 2020,@eeericko,,
327,@adeliaa_azka,"""muka kek banci dih najis""",Bullying,28 Maret 2020,@eeericko,,
328,@nandadzrizkia,"""Ntar Mati dalam keadaan konyol""",Bullying,28 Maret 2020,@eeericko,,
